txn_id,is_fraud,fraud_type
TXN_N02819,0,none
TXN_N04383,0,none
TXN_N07714,0,none
TXN_N08167,0,none
TXN_N04599,0,none
TXN_N00953,0,none
TXN_N04044,0,none
TXN_N03258,0,none
TXN_N08315,0,none
TXN_F00980,1,foreign_transaction
TXN_N00108,0,none
TXN_F00409,1,amount_spike
TXN_N05643,0,none
TXN_N00714,0,none
TXN_N03796,0,none
TXN_F00008_1,1,velocity_abuse
TXN_N00312,0,none
TXN_N00966,0,none
TXN_N07201,0,none
TXN_N05821,0,none
TXN_N01577,0,none
TXN_N04562,0,none
TXN_N01248,0,none
TXN_F00182_B,1,geo_impossibility
TXN_N03211,0,none
TXN_N07929,0,none
TXN_N01311,0,none
TXN_N02626,0,none
TXN_F00670,1,odd_hours_large
TXN_N04092,0,none
TXN_N03352,0,none
TXN_N05240,0,none
TXN_F00347,1,amount_spike
TXN_N08450,0,none
TXN_N06312,0,none
TXN_N00765,0,none
TXN_F00393,1,amount_spike
TXN_N06204,0,none
TXN_N03648,0,none
TXN_N02139,0,none
TXN_N07967,0,none
TXN_N04619,0,none
TXN_N02349,0,none
TXN_N03027,0,none
TXN_N02575,0,none
TXN_N02046,0,none
TXN_N02733,0,none
TXN_N05119,0,none
TXN_N00622,0,none
TXN_N05715,0,none
TXN_N00036,0,none
TXN_N02320,0,none
TXN_N07473,0,none
TXN_F00810,1,foreign_transaction
TXN_N00040,0,none
TXN_N07404,0,none
TXN_N03299,0,none
TXN_N03356,0,none
TXN_N00800,0,none
TXN_N06292,0,none
TXN_F00037_1,1,velocity_abuse
TXN_F00020_4,1,velocity_abuse
TXN_N04809,0,none
TXN_F00156_A,1,geo_impossibility
TXN_N01403,0,none
TXN_N05266,0,none
TXN_F00013_5,1,velocity_abuse
TXN_N05767,0,none
TXN_N06056,0,none
TXN_N02146,0,none
TXN_N08247,0,none
TXN_N06097,0,none
TXN_N03289,0,none
TXN_N03339,0,none
TXN_N05829,0,none
TXN_N01924,0,none
TXN_F00994,1,foreign_transaction
TXN_N06331,0,none
TXN_N02465,0,none
TXN_F00677,1,odd_hours_large
TXN_N02237,0,none
TXN_N02524,0,none
TXN_N06009,0,none
TXN_F00029_3,1,velocity_abuse
TXN_N02026,0,none
TXN_N06779,0,none
TXN_N03111,0,none
TXN_F00044_3,1,velocity_abuse
TXN_N02756,0,none
TXN_N02021,0,none
TXN_F00220,1,amount_spike
